round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 734.760564237, 675.157173331, 703.203733669, 701.768698781, 692.930061778, 670.287921489
1, 708.057020838, 655.564053355, 718.509516924, 671.801825275, 650.844094315, 734.84076803
2, 625.648512595, 641.202646609, 717.561859379, 663.395122551, 654.312578342, 662.531709177
3, 958.267229554, 792.460542171, 700.574984521, 712.319734956, 724.809844662, 697.897983068
4, 628.268903154, 691.118545969, 701.981099832, 693.579011747, 707.224436046, 724.213318333
5, 748.278491112, 797.617343369, 682.496607357, 695.170467479, 707.609493813, 694.594261299
6, 653.285471144, 625.944978827, 709.233931307, 705.11050084, 694.588763915, 664.759477278
7, 602.304341788, 653.107695453, 685.690337387, 688.016901266, 685.136489584, 670.295872734
8, 632.16430197, 610.118432131, 718.47445338, 700.600174341, 690.721648102, 691.623450305
9, 659.681080742, 696.692648512, 680.756049693, 712.457729942, 689.326541309, 716.664307921
