round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 301.287940703, 344.243742353, 630.037547513, 617.638395768, 590.965473075, 608.224357601
1, 409.94032939, 428.064964275, 629.046230669, 623.02106718, 611.73044996, 629.574177508
2, 340.197008476, 545.747682615, 627.032584954, 624.228911108, 657.652538382, 611.049844483
3, 493.580515581, 388.66539985, 613.633973892, 641.76884484, 614.436850206, 647.523179554
4, 412.040691514, 488.45093694, 619.119003188, 626.623912899, 636.542169054, 623.834142137
5, 644.695723532, 384.789721922, 633.493840409, 605.969062573, 601.778614358, 635.252034599
6, 460.354763072, 484.162524887, 636.888211792, 632.415289763, 621.013136899, 620.40531429
7, 312.754327604, 431.488628002, 623.226157702, 656.182989976, 627.784847449, 620.225887047
8, 795.351355737, 808.561919193, 606.70425261, 607.547405588, 631.764439137, 633.966273239
9, 346.849793749, 356.045584858, 604.266007846, 616.525056018, 646.579339468, 667.644425425
