round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1498.3309008753038, 1563.9491741603554, 1995.495543510563, 2066.1322153384417, 2051.7865503672674, 2090.767634141446
1, 1602.1964022946856, 1663.9253114355313, 2097.124101179636, 2097.0631994403257, 2100.5260609999887, 2086.4939623795135
2, 1745.7309052029943, 1774.1767522540379, 2015.4548041968976, 2103.8737772274826, 2059.7390603850604, 2073.6569057263005
3, 1533.3836003831939, 1594.729721980977, 2066.7476863083357, 2059.5128311806006, 2046.8850081822359, 2050.601810588849
4, 1597.0329675917717, 1577.2853518827533, 2068.9654980943014, 2061.2774158986713, 2035.03711191022, 2183.8640165538645
5, 1790.2394530388565, 1748.1316648140462, 2109.863107274411, 2067.1077633139566, 2062.160852506885, 2160.524480127186
6, 1800.9596498427588, 1665.4173380252346, 2077.3177526463114, 2096.7991358789136, 2054.8206634666203, 2157.1811370602422
7, 1615.2339445203756, 1656.6296231530446, 2062.1226857212673, 2083.737722382757, 2083.1098034986635, 2099.9989114796545
8, 1636.4035488724653, 1634.6231877949417, 2046.7420799287333, 2063.421380141515, 2041.3411942891694, 2065.229572373162
9, 1827.2780147898436, 1715.1112345352751, 2047.8092961946147, 2147.7326746756667, 2058.6724175248114, 2059.4366917551038
10, 1525.5399846725156, 1641.3074365027664, 2084.0775675666455, 2093.541117605994, 2078.9992995013367, 2064.2785478112496
11, 1550.7681747275253, 1501.5494954143833, 2087.816110940862, 2085.4752096394636, 2048.1991123455277, 2007.2138205791582
12, 1684.759736474334, 1975.9447717222367, 2054.78206747892, 2093.7728806750515, 2036.5710440151834, 2297.918168068703
13, 1700.9023120399052, 1701.0240714851454, 2062.769683507574, 2086.832434901585, 2099.114584212366, 2176.4492629926453
14, 1937.8050803770532, 1896.4973374438814, 2077.7964392210674, 2115.9574509823974, 2108.927530524396, 2091.7917039197396
15, 1623.933997189946, 1752.7543933336954, 2077.692581434026, 2255.69186865279, 2030.180406452786, 2297.8517410835225
16, 1895.4002835162312, 1627.3238933416283, 2128.3718670172125, 2048.6840938031783, 2130.215688902035, 2074.900922064422
17, 1629.7862768435903, 1738.466622251216, 2067.6446298044675, 2051.1401837183894, 2054.3003631594447, 2134.760253757047
18, 1859.635312836734, 1744.7875057126666, 2014.1188317920926, 2136.3266271848865, 2039.3497432750971, 2077.5311676132455
19, 1640.035223048079, 1604.4529459217208, 2119.2585231560865, 2066.1907931946334, 2069.901956532525, 2111.1852956628495
