round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1341.99469886, 1284.28711736, 1715.60290805, 1705.005701, 1727.91168926, 1689.76418343
1, 1891.3135594, 1564.80752821, 1716.20535741, 1734.72477246, 1713.61799049, 1776.64572038
2, 1492.46395224, 1389.55844688, 1702.97191728, 1714.6041077, 1734.81165161, 1772.94247555
3, 1517.42880898, 1543.82153221, 1708.43842552, 1754.22758398, 1744.6611051, 1798.86318053
4, 1344.89444763, 1334.02102754, 1705.3597378, 1784.91935521, 1723.36416325, 1797.28324603
5, 1375.73537751, 1362.80056297, 1720.95919602, 1699.78039285, 1792.61444267, 1743.31937248
6, 1527.2310195, 1439.23344673, 1755.50074857, 1733.49248676, 1707.06560188, 1914.89897727
7, 1297.39089806, 1396.78758949, 1727.24661946, 1712.14849625, 1740.34923663, 1701.14191994
8, 1353.6682882, 1428.6577078, 1714.54476615, 1744.28337992, 1747.61787711, 1683.47976844
9, 1317.98888392, 1543.49264821, 1751.62076643, 1714.59143694, 1759.24032514, 1810.06588713
