round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1902.1010277011083, 1904.604059265747, 2164.31703301723, 3166.7352313261663, 2010.8016989139546, 3156.8959557062626
1, 1900.248870792517, 1921.1989923652422, 2231.733754361232, 1581.9795909703068, 2084.987454772943, 6296.7496247066965
2, 1913.7060423723701, 1908.2738894256852, 2206.400261519075, 1574.635200705059, 2077.273302785057, 5997.873605403165
3, 1883.6673459672945, 1879.554360746698, 2200.531465868853, 3234.9088860549773, 1947.2991283655276, 4722.412419753233
4, 1886.365788105899, 1893.421600203781, 2366.4048298384564, 1763.6083186065473, 1967.9418523735728, 1758.9731106431266
5, 1903.1858753150332, 1872.4576010634883, 2163.7680785176613, 2895.4989815813033, 1900.6249231301067, 2896.8000194320152
6, 1937.9975875608181, 1892.7795688990823, 2158.302363571185, 1825.5891065077742, 1903.5753808760085, 1827.7925095913736
7, 1928.279842765567, 1913.6012476233172, 2259.1935766620195, 3157.900105586833, 2059.2671000373757, 3594.4035118943366
8, 1901.4734530165463, 1902.3398131021431, 2185.8517471597897, 1958.4786385637215, 2046.9217058784907, 6060.225534991996
9, 1908.563430336706, 1896.9303320805825, 2193.645620734099, 2363.4787946101, 1910.5565148457056, 5651.2925091499355
