round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 2065.7464227448722, 2042.4076339670787, 2268.5928942112632, 1647.3449132912563, 1996.1086932284907, 5944.74627222271
1, 2041.3076248901812, 2039.1404669801718, 2260.6130592349255, 1350.1642411065754, 2080.627452247845, 1357.5743404649606
2, 2082.358240471553, 2042.898510738944, 2188.607072281947, 2898.8634050551127, 2027.4691797849207, 2902.071534046572
3, 2073.2457952340724, 2036.4531597549105, 2205.717365506021, 1762.785917088638, 2084.1145854147453, 1760.5226671080827
4, 2058.9158188291417, 2053.8074505427217, 2273.583084708415, 1826.5981491205673, 2066.2461316045537, 1829.718652502554
5, 2061.973457001132, 2034.068391104986, 2293.987797871443, 2670.6799402505017, 2076.1235934862884, 4648.3834833362225
6, 2057.2890372388756, 2043.3395072188205, 2221.8024462457893, 1534.7576265502737, 2006.5260393184556, 5418.878006016454
7, 2060.0903252059734, 2050.594160126752, 2220.1472360759635, 1508.209951858072, 2094.8483041567256, 5706.679512415838
8, 2033.9928511406831, 2036.1873231756808, 2248.8261041884175, 2109.646916700441, 2098.500922636946, 2444.0891628505456
9, 2041.9970500934035, 2048.6344107403916, 2239.512058122735, 1330.902036783471, 2105.0699603219114, 5916.490299308487
