round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1470.59723934, 1035.13310031, 1052.39624778, 953.831510367, 3927.85466481, 1347.95070244, 
1, 1493.66064008, 955.26283325, 1167.84598006, 1534.49606909, 3383.39846187, 3268.64760244, 
2, 1506.09243409, 1027.11717997, 1163.91604542, 1010.18350716, 3153.57371457, 3420.64531952, 
3, 1270.88933293, 870.137895982, 1106.24088352, 1134.83936744, 3735.18888666, 3937.05449347, 
4, 1486.79330538, 959.403941009, 1191.46289364, 1163.40742678, 3419.1778881, 2578.72292216, 
5, 1552.47236455, 994.242830204, 1093.81651783, 994.598153788, 3342.50247966, 3551.15843453, 
6, 1408.02201933, 842.652818015, 1078.48617443, 1021.7732236, 3480.02130775, 2358.2145324, 
7, 1459.04423883, 1045.88898896, 1150.92906323, 1146.06172858, 1769.88003219, 2570.36388719, 
8, 1388.15588771, 898.403951369, 962.966127778, 1413.28737943, 3563.34125619, 2593.2008316, 
9, 1357.56343888, 922.407573641, 949.54942823, 1189.54676521, 1010.08175321, 2901.07179842, 
10, 1498.98943893, 1046.57127262, 1038.3467843, 883.639969737, 1065.57363649, 1472.06705166, 
11, 1418.66587197, 1030.8969927, 1146.71006723, 1173.74761448, 2016.91585013, 3507.90775902, 
12, 1511.01526987, 944.659093917, 899.512792748, 1318.94446684, 3067.24664876, 3099.02938088, 
13, 1487.83675193, 988.700154441, 1072.65142673, 1172.85139416, 3404.86471974, 3481.25076582, 
14, 1370.6713446, 947.794459833, 1056.45418913, 1523.24891921, 3416.48454005, 3850.34717616, 
15, 1560.56773467, 856.35914554, 1152.67860517, 1556.53422849, 3226.18390785, 3809.15237104, 
16, 1396.51744148, 923.393036175, 914.363096183, 1460.67953295, 1269.15958597, 3288.50940079, 
17, 1465.14962461, 931.06344905, 1098.85554191, 1348.77508035, 3177.42077891, 3211.612834, 
18, 1322.07898924, 1040.35405043, 1050.17514223, 1178.08705314, 2141.06882212, 2792.40076607, 
19, 1491.36311371, 1000.69630594, 1162.90012343, 1557.82685115, 3177.94846741, 2518.85273131, 
20, 1525.889159, 879.467989031, 1206.06536503, 1337.35682981, 2667.29128399, 4163.63037609, 
21, 1482.59268752, 1072.61082045, 983.244408877, 953.067282169, 3633.09084521, 2062.37743706, 
22, 1496.63919016, 929.922530498, 1190.40608288, 1140.30536675, 1004.64039523, 3067.9147232, 
23, 1584.1164608, 945.395374166, 1156.16244443, 1431.90411129, 4283.41633697, 2465.04429548, 
24, 1526.17598276, 1053.48435364, 1074.30556664, 1579.14737865, 3320.10249523, 3401.9247837, 
25, 1510.09884037, 923.285418266, 1092.45458024, 1596.2350131, 3327.18460628, 2624.40818278, 
26, 1383.35597381, 883.205310659, 1197.51277666, 1300.77876005, 1593.16817413, 4396.17211573, 
27, 1451.19170507, 970.681252009, 997.420457808, 1823.70784357, 3303.03431236, 3007.81948998, 
28, 1560.81950567, 931.282289094, 1106.17331622, 1304.04790018, 3369.23016428, 4071.66942992, 
29, 1470.56666191, 959.182047844, 1014.01159813, 1008.06333119, 427.778672962, 652.614434179, 
